Source,Target,Weight,Type
Arriaga,Assis_1,1,undirected
Arriaga,Junqueiro_1,2,undirected
Arriaga,Leal_1,3,undirected
Assis_1,Arriaga,1,undirected
Assis_1,Assis_2,6,undirected
Assis_1,Drummond_1,1,undirected
Assis_1,Drummond_2,1,undirected
Assis_1,Feijó,2,undirected
Assis_1,Junqueiro_1,1,undirected
Assis_1,Leal_1,2,undirected
Assis_1,Nobre_1,1,undirected
Assis_1,Pascoaes,3,undirected
Assis_2,Assis_1,6,undirected
Assis_2,Drummond_1,2,undirected
Assis_2,Drummond_2,2,undirected
Assis_2,Feijó,3,undirected
Assis_2,Junqueiro_1,1,undirected
Assis_2,Leal_1,3,undirected
Assis_2,Pascoaes,2,undirected
Caeiro,Pessoa_2,1,undirected
Caeiro,Pessoa_3,3,undirected
Caeiro,Pessoa_5,2,undirected
Drummond_1,Assis_1,1,undirected
Drummond_1,Assis_2,2,undirected
Drummond_1,Drummond_2,6,undirected
Drummond_2,Assis_1,1,undirected
Drummond_2,Assis_2,2,undirected
Drummond_2,Drummond_1,6,undirected
Espanca,Nobre_1,3,undirected
Espanca,Pessoa_3,2,undirected
Espanca,Pessoa_5,1,undirected
Feijó,Assis_1,2,undirected
Feijó,Assis_2,3,undirected
Feijó,Junqueiro_1,1,undirected
Feijó,Pascoaes,1,undirected
Junqueiro_1,Arriaga,2,undirected
Junqueiro_1,Assis_1,1,undirected
Junqueiro_1,Assis_2,1,undirected
Junqueiro_1,Feijó,1,undirected
Junqueiro_1,Junqueiro_2,6,undirected
Junqueiro_1,Leal_1,4,undirected
Junqueiro_1,Leal_2,3,undirected
Junqueiro_1,Nobre_2,2,undirected
Junqueiro_2,Junqueiro_1,6,undirected
Junqueiro_2,Leal_1,2,undirected
Junqueiro_2,Nobre_2,2,undirected
Leal_1,Arriaga,3,undirected
Leal_1,Assis_1,2,undirected
Leal_1,Assis_2,3,undirected
Leal_1,Junqueiro_1,4,undirected
Leal_1,Junqueiro_2,2,undirected
Leal_1,Leal_2,6,undirected
Leal_2,Junqueiro_1,3,undirected
Leal_2,Leal_1,6,undirected
Leal_2,Nobre_1,2,undirected
Leal_2,Nobre_2,1,undirected
Nobre_1,Assis_1,1,undirected
Nobre_1,Espanca,3,undirected
Nobre_1,Leal_2,2,undirected
Nobre_1,Nobre_2,6,undirected
Nobre_2,Junqueiro_1,2,undirected
Nobre_2,Junqueiro_2,2,undirected
Nobre_2,Leal_2,1,undirected
Nobre_2,Nobre_1,6,undirected
Pascoaes,Assis_1,3,undirected
Pascoaes,Assis_2,2,undirected
Pascoaes,Feijó,1,undirected
Pessoa_1,Pessoa_2,1,undirected
Pessoa_1,Pessoa_3,5,undirected
Pessoa_1,Pessoa_4,2,undirected
Pessoa_1,Pessoa_5,4,undirected
Pessoa_2,Caeiro,1,undirected
Pessoa_2,Pessoa_1,1,undirected
Pessoa_2,Pessoa_3,4,undirected
Pessoa_2,Pessoa_5,3,undirected
Pessoa_3,Caeiro,3,undirected
Pessoa_3,Espanca,2,undirected
Pessoa_3,Pessoa_1,5,undirected
Pessoa_3,Pessoa_2,4,undirected
Pessoa_3,Pessoa_4,3,undirected
Pessoa_3,Pessoa_5,6,undirected
Pessoa_4,Pessoa_1,2,undirected
Pessoa_4,Pessoa_3,3,undirected
Pessoa_4,Pessoa_5,2,undirected
Pessoa_5,Caeiro,2,undirected
Pessoa_5,Espanca,1,undirected
Pessoa_5,Pessoa_1,4,undirected
Pessoa_5,Pessoa_2,3,undirected
Pessoa_5,Pessoa_3,6,undirected
Pessoa_5,Pessoa_4,2,undirected
